109
1 2 3
1 3 8
1 6 10
2 4 5
2 5 1
2 8 9
2 18 7
2 35 3
3 11 9
3 13 10
4 14 3
5 27 1
5 33 8
5 39 6
6 7 8
6 26 6
6 76 4
7 17 10
7 21 4
7 49 10
7 53 3
7 55 1
8 9 1
8 10 9
8 19 5
8 88 7
9 12 4
9 58 7
9 91 3
10 16 1
10 22 7
10 56 6
11 37 3
11 77 6
12 15 10
12 28 10
12 52 7
12 70 7
13 38 3
13 61 4
14 25 2
15 36 1
15 107 2
16 20 7
17 59 3
17 63 5
18 23 8
18 30 1
18 46 9
19 66 8
21 29 2
21 31 6
21 40 10
21 50 10
22 24 1
22 34 6
22 68 6
23 47 4
24 74 1
25 86 6
26 105 9
27 85 1
29 32 6
29 109 4
30 43 6
30 81 9
31 41 4
31 64 1
31 93 6
32 42 3
32 60 8
32 95 2
32 102 2
33 44 5
33 48 9
35 104 3
36 92 3
37 45 3
39 101 7
40 57 8
42 51 10
43 75 9
44 67 7
45 54 10
45 62 8
45 96 10
46 71 5
47 94 7
47 98 6
51 73 10
58 69 10
59 72 9
60 65 7
60 84 4
62 82 9
62 103 4
63 78 4
66 80 5
66 110 8
69 97 7
69 100 2
70 90 4
72 79 1
72 99 2
77 83 1
81 108 2
82 87 6
82 89 9
94 106 4
